,Attacks,Date
0,0,2002-01-01
1,0,2002-01-02
2,0,2002-01-03
3,0,2002-01-04
4,0,2002-01-05
5,0,2002-01-06
6,0,2002-01-07
7,1,2002-01-08
8,0,2002-01-09
9,0,2002-01-10
10,0,2002-01-11
11,0,2002-01-12
12,0,2002-01-13
13,0,2002-01-14
14,0,2002-01-15
15,0,2002-01-16
16,0,2002-01-17
17,0,2002-01-18
18,0,2002-01-19
19,0,2002-01-20
20,0,2002-01-21
21,0,2002-01-22
22,0,2002-01-23
23,0,2002-01-24
24,0,2002-01-25
25,0,2002-01-26
26,0,2002-01-27
27,0,2002-01-28
28,0,2002-01-29
29,0,2002-01-30
30,0,2002-01-31
31,0,2002-02-01
32,0,2002-02-02
33,0,2002-02-03
34,0,2002-02-04
35,0,2002-02-05
36,0,2002-02-06
37,0,2002-02-07
38,0,2002-02-08
39,0,2002-02-09
40,0,2002-02-10
41,0,2002-02-11
42,0,2002-02-12
43,0,2002-02-13
44,0,2002-02-14
45,0,2002-02-15
46,0,2002-02-16
47,0,2002-02-17
48,0,2002-02-18
49,0,2002-02-19
50,0,2002-02-20
51,0,2002-02-21
52,0,2002-02-22
53,0,2002-02-23
54,0,2002-02-24
55,0,2002-02-25
56,0,2002-02-26
57,0,2002-02-27
58,0,2002-02-28
59,0,2002-03-01
60,0,2002-03-02
61,0,2002-03-03
62,0,2002-03-04
63,0,2002-03-05
64,0,2002-03-06
65,0,2002-03-07
66,0,2002-03-08
67,0,2002-03-09
68,0,2002-03-10
69,0,2002-03-11
70,0,2002-03-12
71,0,2002-03-13
72,0,2002-03-14
73,0,2002-03-15
74,0,2002-03-16
75,0,2002-03-17
76,1,2002-03-18
77,0,2002-03-19
78,0,2002-03-20
79,0,2002-03-21
80,0,2002-03-22
81,0,2002-03-23
82,0,2002-03-24
83,0,2002-03-25
84,0,2002-03-26
85,0,2002-03-27
86,0,2002-03-28
87,0,2002-03-29
88,0,2002-03-30
89,0,2002-03-31
90,0,2002-04-01
91,0,2002-04-02
92,1,2002-04-03
93,0,2002-04-04
94,0,2002-04-05
95,0,2002-04-06
96,0,2002-04-07
97,0,2002-04-08
98,0,2002-04-09
99,0,2002-04-10
100,0,2002-04-11
101,0,2002-04-12
102,0,2002-04-13
103,0,2002-04-14
104,0,2002-04-15
105,0,2002-04-16
106,0,2002-04-17
107,0,2002-04-18
108,0,2002-04-19
109,0,2002-04-20
110,0,2002-04-21
111,0,2002-04-22
112,0,2002-04-23
113,0,2002-04-24
114,0,2002-04-25
115,0,2002-04-26
116,0,2002-04-27
117,0,2002-04-28
118,0,2002-04-29
119,0,2002-04-30
120,0,2002-05-01
121,0,2002-05-02
122,0,2002-05-03
123,0,2002-05-04
124,0,2002-05-05
125,0,2002-05-06
126,0,2002-05-07
127,0,2002-05-08
128,0,2002-05-09
129,0,2002-05-10
130,0,2002-05-11
131,0,2002-05-12
132,0,2002-05-13
133,0,2002-05-14
134,0,2002-05-15
135,0,2002-05-16
136,0,2002-05-17
137,0,2002-05-18
138,0,2002-05-19
